n,V,E,ET
1.0,3.0,3.0,1.7619132995605469
2.0,4.0,6.0,2.634286880493164
3.0,5.0,10.0,5.043983459472656
4.0,6.0,15.0,8.899450302124023
5.0,7.0,21.0,14.627695083618164
6.0,8.0,28.0,22.66716957092285
7.0,9.0,36.0,33.16211700439453
8.0,10.0,45.0,53.63965034484863
9.0,11.0,55.0,74.4009017944336
10.0,12.0,66.0,75.78277587890625
11.0,13.0,78.0,88.31119537353516
12.0,14.0,91.0,110.98885536193848
13.0,15.0,105.0,138.42105865478516
14.0,16.0,120.0,167.90413856506348
15.0,17.0,136.0,197.60465621948242
16.0,18.0,153.0,240.68665504455566
17.0,19.0,171.0,304.41999435424805
18.0,20.0,190.0,334.0575695037842
19.0,21.0,210.0,447.09157943725586
20.0,22.0,231.0,475.1448631286621
21.0,23.0,253.0,525.1765251159668
22.0,24.0,276.0,591.5811061859131
23.0,25.0,300.0,672.2526550292969
24.0,26.0,325.0,803.6239147186279
25.0,27.0,351.0,918.952226638794
26.0,28.0,378.0,956.6051959991455
27.0,29.0,406.0,996.3488578796387
28.0,30.0,435.0,1095.0634479522705
29.0,31.0,465.0,1218.8258171081543
30.0,32.0,496.0,1348.4687805175781
31.0,33.0,528.0,1482.3250770568848
32.0,34.0,561.0,1963.3293151855469
33.0,35.0,595.0,242055.94325065613
34.0,36.0,630.0,393393.8400745392
35.0,37.0,666.0,363414.8347377777
36.0,38.0,703.0,266969.025850296
37.0,39.0,741.0,171864.57633972168
38.0,40.0,780.0,103301.38969421387
39.0,41.0,820.0,60043.6909198761
40.0,42.0,861.0,31745.569229125977
41.0,43.0,903.0,20569.279670715332
42.0,44.0,946.0,13337.022304534912
43.0,45.0,990.0,9290.591955184937
44.0,46.0,1035.0,7437.23726272583
45.0,47.0,1081.0,6539.992332458496
46.0,48.0,1128.0,6264.940977096558
47.0,49.0,1176.0,5916.540622711182
48.0,50.0,1225.0,5998.687744140625
49.0,51.0,1275.0,6503.839492797852
50.0,52.0,1326.0,6661.582708358765
51.0,53.0,1378.0,6757.0390701293945
52.0,54.0,1431.0,7143.476724624634
53.0,55.0,1485.0,7733.584642410278
54.0,56.0,1540.0,8138.973236083984
55.0,57.0,1596.0,8705.013990402222
56.0,58.0,1653.0,9048.054933547974
57.0,59.0,1711.0,10355.121850967407
58.0,60.0,1770.0,10232.42473602295
59.0,61.0,1830.0,10874.524354934692
60.0,62.0,1891.0,11431.936502456665
61.0,63.0,1953.0,12145.329713821411
62.0,64.0,2016.0,12691.02168083191
63.0,65.0,2080.0,13237.843990325928
64.0,66.0,2145.0,14813.860654830933
65.0,67.0,2211.0,855826.7948627472
66.0,68.0,2278.0,1324351.1419296265
67.0,69.0,2346.0,1173462.364435196
68.0,70.0,2415.0,846505.2473545074
69.0,71.0,2485.0,525977.9806137085
70.0,72.0,2556.0,310908.55741500854
71.0,73.0,2628.0,181462.12911605835
72.0,74.0,2701.0,100664.96968269348
73.0,75.0,2775.0,68745.7685470581
74.0,76.0,2850.0,49225.45504570007
75.0,77.0,2926.0,38625.725507736206
76.0,78.0,3003.0,33095.68095207214
77.0,79.0,3081.0,31077.181816101074
78.0,80.0,3160.0,29063.401222229004
79.0,81.0,3240.0,28846.724271774292
80.0,82.0,3321.0,28117.160320281982
81.0,83.0,3403.0,29275.278091430664
82.0,84.0,3486.0,29945.277452468872
83.0,85.0,3570.0,31232.057332992554
84.0,86.0,3655.0,32008.910179138184
85.0,87.0,3741.0,33617.49887466431
86.0,88.0,3828.0,34323.10938835144
87.0,89.0,3916.0,36451.881408691406
88.0,90.0,4005.0,37191.68663024902
89.0,91.0,4095.0,39195.480823516846
90.0,92.0,4186.0,40697.288513183594
91.0,93.0,4278.0,41236.647844314575
92.0,94.0,4371.0,42524.028301239014
93.0,95.0,4465.0,44365.41843414307
94.0,96.0,4560.0,45811.87558174133
95.0,97.0,4656.0,46935.04071235657
96.0,98.0,4753.0,50601.502895355225
97.0,99.0,4851.0,1669086.2243175507
98.0,100.0,4950.0,2564454.9255371094
99.0,101.0,5050.0,2261360.8400821686
100.0,102.0,5151.0,1597493.2234287262
101.0,103.0,5253.0,1001721.2290763855
102.0,104.0,5356.0,601266.8373584747
103.0,105.0,5460.0,359464.1046524048
104.0,106.0,5565.0,213052.5825023651
105.0,107.0,5671.0,156596.48513793945
106.0,108.0,5778.0,120421.9696521759
107.0,109.0,5886.0,100539.57271575928
108.0,110.0,5995.0,91724.59411621094
109.0,111.0,6105.0,85696.2034702301
110.0,112.0,6216.0,83559.27872657776
111.0,113.0,6328.0,82086.31205558777
112.0,114.0,6441.0,81023.73886108398
113.0,115.0,6555.0,83285.75778007507
114.0,116.0,6670.0,84738.71231079102
115.0,117.0,6786.0,86327.26716995239
116.0,118.0,6903.0,88848.45399856567
117.0,119.0,7021.0,90199.00226593018
118.0,120.0,7140.0,93583.10842514038
119.0,121.0,7260.0,95239.79902267456
120.0,122.0,7381.0,98748.63958358765
121.0,123.0,7503.0,102213.74297142029
122.0,124.0,7626.0,104456.21585845947
123.0,125.0,7750.0,107066.10441207886
124.0,126.0,7875.0,109569.41294670105
125.0,127.0,8001.0,111451.05981826782
126.0,128.0,8128.0,115035.03584861755
127.0,129.0,8256.0,117827.55661010742
128.0,130.0,8385.0,147056.2469959259
